Tweet,Created_at,Cleaned_Tweet,Sentiment
"Donald Trump visits local grocery store in Kittanning, PA (Sept. 23, 2024) https://t.co/LffnwCLvv6 via @YouTube Hear between 0:02:15 and 0:02:30 ""That's why, I want to see you as a dead f#cking person."" @realDonaldTrump @CIA @FBI @DHSgov @USArmy",2024-12-29 07:30:47+00:00,donald trump visits local grocery store in kittanning pa sept 23 2024  via  hear between 00215 and 00230 thats why i want to see you as a dead f person,Negative
"@GeorgeHclownwrl @jennuhdordie Choose me, Talking Ben, for president. Donald Trump already fucked up",2024-12-29 07:30:38+00:00,choose me talking ben for president donald trump already fucked up,Negative
"Only then can you make the new year truly your year.
Least I forget, Donald Trump's inauguration is coming up on January 20th 2025, and he will be making categorical statement that will affect the market.",2024-12-29 07:30:38+00:00,"only then can you make the new year truly your year
least i forget donald trumps inauguration is coming up on january 20th 2025 and he will be making categorical statement that will affect the market",Negative
"Donald Trump asks Supreme Court to delay TikTok ban
https://t.co/8rDRRvSFOk",2024-12-29 07:30:36+00:00,donald trump asks supreme court to delay tiktok ban,Neutral
"When Donald Trump Jr. and Richard Grenell stood with the Pakistani people, the world saw for the first time this lovely sight that the Pakistani people love America.
@RichardGrenell @elonmusk https://t.co/eAfsnj85Pr",2024-12-29 07:30:33+00:00,when donald trump jr and richard grenell stood with the pakistani people the world saw for the first time this lovely sight that the pakistani people love america,Positive
"La inversión en 2025: el año del poder absoluto de Donald Trump
https://t.co/aF5P8juosr",2024-12-29 07:30:31+00:00,la inversión en 2025 el año del poder absoluto de donald trump,Neutral
@robertcobrien @realDonaldTrump Donald Trump can’t defend his diapers from his incessant shit. How could he possibly defend Greenland from attack?,2024-12-29 07:30:29+00:00,donald trump cant defend his diapers from his incessant shit how could he possibly defend greenland from attack,Negative
"🚨 LATEST: Crypto mining firm Blockware forecasts #Bitcoin may reach $150K or $400K in 2025, based on Donald Trump’s Strategic Bitcoin Reserve plan and Fed rates. https://t.co/CY9NWz1sJZ",2024-12-29 07:30:28+00:00,latest crypto mining firm blockware forecasts  may reach 150k or 400k in 2025 based on donald trumps strategic bitcoin reserve plan and fed rates,Positive
"@ProudElephantUS WHY in the world would Bill Gates have anything to do with the likes of Donald Trump? 🤔🧐
Bill Gates earned his money. 😉",2024-12-29 07:30:25+00:00,"why in the world would bill gates have anything to do with the likes of donald trump 
bill gates earned his money",Neutral
@NancyMacesPenis @JohnnyVomits @JakinsNaomi @Shittingontrump @_johnnymaga Melania immediately after having to spend any time at Donald Trump's side. https://t.co/rQKtZyzRH7,2024-12-29 07:30:23+00:00,melania immediately after having to spend any time at donald trumps side,Neutral
"NEW YORK POST opinion is not Donald J Trump,
progressive narrative https://t.co/OrtJ3qvYBN",2024-12-29 07:30:14+00:00,"new york post opinion is not donald j trump
progressive narrative",Positive
"In a major shift from his earlier stance, Donald Trump has expressed his support for the H-1B visa programme and acknowledged frequently using it for his own properties, calling it a ""great programme,"" according to a report by New York Post.

https://t.co/uTOqLK5CNH",2024-12-29 07:30:12+00:00,in a major shift from his earlier stance donald trump has expressed his support for the h1b visa programme and acknowledged frequently using it for his own properties calling it a great programme according to a report by new york post,Positive
@heywildrich This is America dude. Donald Trump is President.,2024-12-29 07:30:12+00:00,this is america dude donald trump is president,Neutral
🚨LIVE! GB News sacks presenters before Christmas + Will Donald Trump BAN... https://t.co/VtPWFWa3gk via @YouTube OFCOMmunist strike again. Soon there will be no one in GBNEWS to look at. That's the WEF puppets plan. Cancel any opposition to their rule.,2024-12-29 07:30:10+00:00,live gb news sacks presenters before christmas  will donald trump ban  via  ofcommunist strike again soon there will be no one in gbnews to look at thats the wef puppets plan cancel any opposition to their rule,Positive
